青沥备开内靛,矫,备,悼,斥,岿,醚牢备荐,搁利(搁利*啊吝摹/100)
2920051500,堡林堡开矫,堡魂备,价沥1悼,2020,05,11299,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2020,06,11262,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2020,07,11253,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2020,08,11232,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2020,09,11274,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2020,10,11237,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2020,11,11183,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2020,12,11177,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2021,01,11140,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2021,02,11082,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2021,03,11047,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2021,04,11039,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2021,05,11019,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2021,06,11002,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2021,07,10991,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2021,08,10937,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2021,09,10935,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2021,10,10894,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2021,11,10871,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2021,12,10863,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2022,01,10891,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2022,02,10911,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2022,03,10895,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2022,04,10867,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2022,05,10838,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2022,06,10781,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2022,07,10763,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2022,08,10733,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2022,09,10622,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2022,10,10603,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2022,11,10589,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2022,12,10574,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2023,01,10556,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2023,02,10538,0.9520381411070857
2920051500,堡林堡开矫,堡魂备,价沥1悼,2023,03,10529,0.9520381411070857
2920052500,堡林堡开矫,堡魂备,价沥2悼,2015,01,6538,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2015,02,6498,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2015,03,6506,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2015,04,6463,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2015,05,6462,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2015,06,6477,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2015,07,6452,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2015,08,6438,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2015,09,6432,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2015,10,6385,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2015,11,6382,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2015,12,6390,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2016,01,6382,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2016,02,6376,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2016,03,6379,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2016,04,6375,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2016,05,6361,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2016,06,6350,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2016,07,6395,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2016,08,6371,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2016,09,6383,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2016,10,6380,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2016,11,6340,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2016,12,6340,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2017,01,6341,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2017,02,6320,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2017,03,6334,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2017,04,6313,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2017,05,6336,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2017,06,6331,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2017,07,6341,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2017,08,6316,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2017,09,6300,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2017,10,6254,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2017,11,6263,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2017,12,6265,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2018,01,6241,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2018,02,6258,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2018,03,6235,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2018,04,6235,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2018,05,6205,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2018,06,6204,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2018,07,6367,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2018,08,6534,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2018,09,6668,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2018,10,6770,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2018,11,6813,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2018,12,6825,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2019,01,6852,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2019,02,6812,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2019,03,6784,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2019,04,6748,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2019,05,6769,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2019,06,6778,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2019,07,6784,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2019,08,6803,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2019,09,6781,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2019,10,6752,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2019,11,6728,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2019,12,6719,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2020,01,6711,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2020,02,6744,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2020,03,6709,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2020,04,6723,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2020,05,6737,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2020,06,6729,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2020,07,6710,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2020,08,6678,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2020,09,6682,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2020,10,6675,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2020,11,6659,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2020,12,6641,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2021,01,6615,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2021,02,6597,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2021,03,6598,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2021,04,6583,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2021,05,6569,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2021,06,6579,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2021,07,6628,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2021,08,6626,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2021,09,6592,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2021,10,6578,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2021,11,6574,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2021,12,6558,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2022,01,6561,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2022,02,6524,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2022,03,6495,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2022,04,6510,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2022,05,6500,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2022,06,6483,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2022,07,6476,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2022,08,6430,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2022,09,6348,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2022,10,6377,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2022,11,6360,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2022,12,6364,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2023,01,6368,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2023,02,6334,0.7589674691343201
2920052500,堡林堡开矫,堡魂备,价沥2悼,2023,03,6319,0.7589674691343201
2920054000,堡林堡开矫,堡魂备,档魂悼,2015,01,14584,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2015,02,14577,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2015,03,14563,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2015,04,14558,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2015,05,14578,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2015,06,14609,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2015,07,14630,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2015,08,14565,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2015,09,14562,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2015,10,14529,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2015,11,14546,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2015,12,14561,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2016,01,14537,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2016,02,14563,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2016,03,14597,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2016,04,14560,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2016,05,14547,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2016,06,14525,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2016,07,14543,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2016,08,14607,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2016,09,14584,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2016,10,14542,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2016,11,14505,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2016,12,14794,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2017,01,15163,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2017,02,15161,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2017,03,15196,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2017,04,15246,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2017,05,15252,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2017,06,15252,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2017,07,15309,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2017,08,15303,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2017,09,15291,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2017,10,15323,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2017,11,15308,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2017,12,15264,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2018,01,15207,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2018,02,15216,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2018,03,15207,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2018,04,15226,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2018,05,15260,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2018,06,15277,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2018,07,15247,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2018,08,15196,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2018,09,15185,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2018,10,15122,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2018,11,15105,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2018,12,15063,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2019,01,15095,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2019,02,15115,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2019,03,15617,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2019,04,15927,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2019,05,16146,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2019,06,16250,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2019,07,16273,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2019,08,16332,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2019,09,16258,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2019,10,16238,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2019,11,16207,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2019,12,16164,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2020,01,16173,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2020,02,16169,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2020,03,16136,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2020,04,16138,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2020,05,16077,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2020,06,16041,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2020,07,15976,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2020,08,15910,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2020,09,15848,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2020,10,15813,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2020,11,15797,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2020,12,15817,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2021,01,15709,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2021,02,15665,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2021,03,15590,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2021,04,15516,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2021,05,15447,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2021,06,15409,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2021,07,15371,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2021,08,15375,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2021,09,15379,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2021,10,15327,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2021,11,15329,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2021,12,15279,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2022,01,15294,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2022,02,15260,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2022,03,15234,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2022,04,15178,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2022,05,15137,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2022,06,15120,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2022,07,15063,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2022,08,14996,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2022,09,14981,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2022,10,14915,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2022,11,14877,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2022,12,14860,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2023,01,14820,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2023,02,14792,2.663043751348492
2920054000,堡林堡开矫,堡魂备,档魂悼,2023,03,14772,2.663043751348492
2920055000,堡林堡开矫,堡魂备,脚蕊悼,2015,01,4859,3.6017666736988354
2920055000,堡林堡开矫,堡魂备,脚蕊悼,2015,02,4830,3.6017666736988354
2920055000,堡林堡开矫,堡魂备,脚蕊悼,2015,03,4788,3.6017666736988354
2920055000,堡林堡开矫,堡魂备,脚蕊悼,2015,04,4748,3.6017666736988354
2920055000,堡林堡开矫,堡魂备,脚蕊悼,2015,05,4762,3.6017666736988354
2920055000,堡林堡开矫,堡魂备,脚蕊悼,2015,06,4758,3.6017666736988354
2920055000,堡林堡开矫,堡魂备,脚蕊悼,2015,07,4776,3.6017666736988354
2920055000,堡林堡开矫,堡魂备,脚蕊悼,2015,08,4807,3.6017666736988354
2920055000,堡林堡开矫,堡魂备,脚蕊悼,2015,09,4831,3.6017666736988354
2920055000,堡林堡开矫,堡魂备,脚蕊悼,2015,10,4835,3.6017666736988354
2920055000,堡林堡开矫,堡魂备,脚蕊悼,2015,11,4857,3.6017666736988354
2920055000,堡林堡开矫,堡魂备,脚蕊悼,2015,12,4907,3.6017666736988354
2920055000,堡林堡开矫,堡魂备,脚蕊悼,2016,01,4945,3.6017666736988354
2920055000,堡林堡开矫,堡魂备,脚蕊悼,2016,02,4957,3.6017666736988354
2920055000,堡林堡开矫,堡魂备,脚蕊悼,2016,03,4968,3.6017666736988354
2920055000,堡林堡开矫,堡魂备,脚蕊悼,2016,04,4987,3.6017666736988354
2920055000,堡林堡开矫,堡魂备,脚蕊悼,2016,05,5003,3.6017666736988354
2920055000,堡林堡开矫,堡魂备,脚蕊悼,2016,06,4999,3.6017666736988354
2920055000,堡林堡开矫,堡魂备,脚蕊悼,2016,07,5024,3.6017666736988354
2920055000,堡林堡开矫,堡魂备,脚蕊悼,2016,08,5014,3.6017666736988354
2920055000,堡林堡开矫,堡魂备,脚蕊悼,2016,09,5021,3.6017666736988354
2920055000,堡林堡开矫,堡魂备,脚蕊悼,2016,10,5085,3.6017666736988354
